id,label,category,sender,subject,body_snippet,urls_in_email,red_flags,risk_level
14,phishing,Google Account Phish,no-reply@google-accounts-security.ml,Sign-in attempt blocked on your Google Account,"We blocked a sign-in attempt to your Google Account from a new location: Kyiv Ukraine (Chrome on Windows). If this wasn't you secure your account now: http://accounts-google-security.ml/secure","http://accounts-google-security.ml/secure","Fake Google domain,.ml TLD,Location scare tactic",Critical
15,phishing,Dropbox Phish,no-reply@dropbox-fileshare.cf,Someone shared a confidential document with you,"John Smith has shared a confidential document with you via Dropbox: Q4_Financial_Report_CONFIDENTIAL.pdf. View the document here: http://dropbox-view.cf/doc?id=XK882&user=victim@email.com","http://dropbox-view.cf/doc?id=XK882&user=victim@email.com","Fake Dropbox domain,.cf TLD,Curiosity bait,Personal email in URL",High
16,phishing,Zoom Meeting Phish,meetings@zoom-webinar-invite.tk,You have been invited to a Zoom Emergency Meeting,"Your manager has invited you to an emergency Zoom meeting regarding your recent performance review. Join immediately: http://zoom-meeting.tk/join?meeting=8823&pass=1234","http://zoom-meeting.tk/join?meeting=8823&pass=1234","Fake Zoom domain,.tk TLD,Social pressure,Urgency",High
17,phishing,Ransomware Extortion,anonymous@dark-web-alert.onion.pet,I have access to your device - Pay or I will expose you,"I have installed malware on your device and recorded you through your webcam while you visited adult websites. Pay $1400 in Bitcoin to wallet 1A2B3C4D5E6F7G8H9I0J to prevent me publishing the recording. You have 48 hours.","None","Sextortion scam,Bitcoin demand,Fake threat,Time pressure",Critical
18,phishing,COVID Phishing,covid-support@government-relief-fund.tk,COVID-19 Emergency Relief Payment: $1400 Awaiting Claim,"Your COVID-19 emergency relief payment of $1,400 is ready. The IRS and Treasury Department have processed your payment. Claim it here: http://covid-relief-payment.tk/claim?ssn=","http://covid-relief-payment.tk/claim?ssn=","Government impersonation,Requests SSN,.tk TLD,Exploits pandemic",Critical
19,phishing,LinkedIn Phish,notifications@linkedln-messages.com,You have 3 pending connection requests from recruiters,"Three top recruiters want to connect with you on LinkedIn! View your connection requests and new job offers: http://linkedln-messages.com/connections?token=abc123xyz","http://linkedln-messages.com/connections?token=abc123xyz","Misspelled LinkedIn (linkedln),Typosquatting domain,Curiosity bait",High
20,phishing,Fake Job Offer,careers@remote-jobs-global-hiring.xyz,You have been selected for a $95000/year remote position,"Congratulations! After reviewing your LinkedIn profile you have been selected for a Remote Customer Service Manager position ($95,000/year). No experience needed. Send your full name, date of birth, home address and ID scan to confirm: jobs.apply@protonmail.com","None","Unsolicited job offer,Requests PII + ID,No interview,Too good to be true",High
21,phishing,Fake Antivirus,support@mcafee-renewal-alert.tk,Your McAfee subscription expires TODAY - Renew Now,"Your McAfee Total Protection has expired. Your PC is currently unprotected from viruses and malware. Renew for just $29.99: http://mcafee-renew.tk/checkout","http://mcafee-renew.tk/checkout","Fake security brand,.tk TLD,Fear tactic,Urgency",High
22,phishing,Amazon Gift Card Scam,gifts@amazon-rewards-promo.gq,Exclusive: Claim your $500 Amazon Gift Card Today!,"You qualify for an exclusive $500 Amazon Gift Card as a valued customer. Complete a 30-second survey to claim your reward before midnight: http://amazon-gift-survey.gq/claim","http://amazon-gift-survey.gq/claim","Fake Amazon domain,.gq TLD,Too good to be true,Fake survey",Medium
23,phishing,Phishing via Attachment,documents@shared-document-view.cf,SHARED: Confidential Contract - Signature Required,"Please review and sign the attached contract before our meeting tomorrow. The document is password protected - password is: Doc2024 Open: http://docusign-sign.cf/view?doc=contract_final.pdf","http://docusign-sign.cf/view?doc=contract_final.pdf","Fake DocuSign,.cf TLD,Password pre-provided,Fake urgency",High
24,phishing,Office 365 Credential Theft,it-admin@office365-account-verify.pw,Your Office 365 password will expire in 24 hours,"Your Office 365 password is set to expire in 24 hours. To keep your account active without interruption update your password now: http://office365-password.pw/update?user=victim","http://office365-password.pw/update?user=victim","Fake Microsoft domain,.pw TLD,Password phishing,Urgency",Critical
25,phishing,Fake Refund,refund@ebay-buyer-protection.ml,EBay Buyer Protection: Refund of $234.50 Approved,"Your refund request for order #EB-293847 has been approved. Your $234.50 will be returned to your account. Click below to confirm your payment details: http://ebay-refund.ml/confirm?order=293847","http://ebay-refund.ml/confirm?order=293847","Fake eBay domain,.ml TLD,Refund phish,Confirmation scam",High
26,legitimate,Account Notification,no-reply@accounts.google.com,Security alert: New sign-in on Chrome,"We noticed a new sign-in to your Google Account on a Windows device. If this was you you can ignore this message. If not review your account activity: https://myaccount.google.com/security","https://myaccount.google.com/security","None",Low
27,legitimate,Order Confirmation,auto-confirm@amazon.com,Your Amazon order #112-3456789-0123456 has shipped,"Hello, Your order has shipped! Your package is on its way and is expected to arrive Thursday February 27. Track your package: https://www.amazon.com/gp/css/order-history","https://www.amazon.com/gp/css/order-history","None",Low
28,legitimate,Bank Statement,statements@notifications.bankofamerica.com,Your Bank of America eStatement is ready,"Your January 2026 statement for account ending in 4523 is now available. Log in to view your statement: https://www.bankofamerica.com/online-banking/sign-in/","https://www.bankofamerica.com/online-banking/sign-in/","None",Low
29,legitimate,Newsletter,newsletter@github.com,GitHub Changelog — February 2026,"Here is what shipped at GitHub in February. New Copilot features, Actions improvements and more. Read the full changelog: https://github.blog/changelog/","https://github.blog/changelog/","None",Low
30,legitimate,Two-Factor Auth,auth@apple.com,Your Apple ID verification code is 847291,"Your Apple ID verification code is 847291. Never share this code with anyone. Apple support will never ask for it. This code expires in 10 minutes.","None","None",Low
31,legitimate,Password Reset,no-reply@slack.com,Reset your Slack password,"Someone (hopefully you) requested a password reset for your Slack account. Click the link below to reset your password: https://slack.com/reset-password?token=xoxp-valid-token","https://slack.com/reset-password?token=xoxp-valid-token","None",Low
32,legitimate,Meeting Invite,calendar-notification@google.com,Invitation: Weekly Team Standup Thu Feb 27 2026,"You have been invited to: Weekly Team Standup. Organizer: manager@company.com. Join with Google Meet: https://meet.google.com/abc-defg-hij","https://meet.google.com/abc-defg-hij","None",Low
33,legitimate,Subscription Receipt,receipt@netflix.com,Your Netflix receipt for February 2026,"Your payment of $15.49 for Netflix standard plan was processed on Feb 26 2026. Your next billing date is March 26 2026. Manage your account: https://www.netflix.com/account","https://www.netflix.com/account","None",Low
34,legitimate,Shipping Notification,shipment-tracking@ups.com,UPS Shipment Notification - 1Z999AA10123456784,"Your package has been shipped via UPS Ground and is scheduled for delivery on Friday February 28. Track your shipment: https://www.ups.com/track?loc=en_US&tracknum=1Z999AA10123456784","https://www.ups.com/track?loc=en_US&tracknum=1Z999AA10123456784","None",Low
35,legitimate,LinkedIn Update,jobs-noreply@linkedin.com,3 new jobs match your profile in Software Engineering,"Good news! 3 new jobs match your profile. Senior Backend Engineer at Google (+$180k) Senior ML Engineer at OpenAI (+$200k) View all matching jobs: https://www.linkedin.com/jobs/","https://www.linkedin.com/jobs/","None",Low
36,legitimate,Software Update,noreply@mail.microsoft.com,Important Windows Security Update Available,"Windows has released a critical security update (KB5034441) for your device. Install the update to keep your device protected. Update through Settings > Update & Security > Windows Update.","None","None",Low
37,legitimate,HR Communication,hr@company.com,Annual Performance Review - Schedule your 1:1,"Hi Team, It is that time of year again. Please schedule your annual performance review with your manager using the Workday link in the HR portal. Reviews due by March 15. Login: https://company.workday.com","https://company.workday.com","None",Low
38,legitimate,Educational Platform,no-reply@coursera.org,Your certificate for Machine Learning is ready!,"Congratulations! You have completed the Machine Learning Specialization. Download your certificate: https://www.coursera.org/account/accomplishments/certificate/ABC123DEF456","https://www.coursera.org/account/accomplishments/certificate/ABC123DEF456","None",Low
39,legitimate,Cloud Storage,no-reply@dropbox.com,John shared a folder with you,"John Smith has shared the folder Q1 Marketing Assets with you. View files: https://www.dropbox.com/sh/abc123def456/AABc1234XYZ","https://www.dropbox.com/sh/abc123def456/AABc1234XYZ","None",Low
40,legitimate,Payment Receipt,service@paypal.com,Receipt for your payment of $49.99,"You sent a payment of $49.99 USD to Adobe Inc. Transaction ID: 3XY82930K83. If you didn't authorize this transaction report it here: https://www.paypal.com/disputes","https://www.paypal.com/disputes","None",Low
41,phishing,Spear Phishing,it-security@yourcompany-itsec.com,Mandatory Security Compliance Training - Complete by Friday,"All employees are required to complete the updated GDPR compliance training by end of week. Failure to complete will result in account suspension. Access the training module: http://compliance-training-portal.cf/login","http://compliance-training-portal.cf/login","Fake corporate domain,.cf TLD,Account suspension threat,Mandatory urgency",High
42,phishing,Apple Pay Scam,noreply@apple-pay-confirm.gq,Apple Pay Transaction Alert: $899.99 Charged,"A payment of $899.99 was made using Apple Pay at Best Buy. If you did not make this purchase secure your account immediately: http://apple-pay-secure.gq/dispute?txn=APP8829","http://apple-pay-secure.gq/dispute?txn=APP8829","Fake Apple domain,.gq TLD,Large fake charge,Fear tactic",Critical
43,phishing,Fake Zoom Recording,no-reply@zoom-cloud-recording.tk,You have a Zoom cloud recording available,"Your Zoom meeting recording from Feb 26 2026 is now available. View the recording here (expires in 24 hours): http://zoom-recording.tk/view?id=ZM882311","http://zoom-recording.tk/view?id=ZM882311","Fake Zoom domain,.tk TLD,Expiry pressure,Curiosity exploit",Medium
44,phishing,WhatsApp Phish,whatsapp-security@wa-account-alert.ml,Your WhatsApp account is being used on another device,"Someone is using your WhatsApp account on a new device (iPhone 15 Pro - New York USA). If this is not you immediately verify your account: http://whatsapp-verify.ml/secure","http://whatsapp-verify.ml/secure","Fake WhatsApp domain,.ml TLD,Device scare,Identity theft bait",High
45,phishing,Fake Charity,donations@ukraine-relief-fund-global.xyz,Urgent: Donate to Ukraine Emergency Relief Fund,"The Ukrainian people need your help. Please donate to our emergency relief fund. 100% of funds go directly to refugees. Donate now: http://ukraine-relief.xyz/donate?campaign=UKR2024","http://ukraine-relief.xyz/donate?campaign=UKR2024","Exploits humanitarian crisis,.xyz TLD,Unverified charity,Emotional manipulation",High
46,phishing,Facebook Account Phish,security@facebook-account-center.tk,Warning: Unusual activity detected on your Facebook account,"We detected suspicious activity on your Facebook account. To protect your account and personal information verify your identity: http://facebook-verify.tk/identity?uid=291837","http://facebook-verify.tk/identity?uid=291837","Fake Facebook domain,.tk TLD,Identity phish",Critical
47,phishing,Instagram Verification,verify@instagram-blue-badge.gq,Get your Instagram Verified Blue Badge - Limited Time!,"Congratulations! You are eligible for Instagram verification (blue badge). Complete your verification before this offer expires in 12 hours: http://instagram-verify.gq/badge","http://instagram-verify.gq/badge","Fake Instagram domain,.gq TLD,Fake verification,Time pressure",Medium
48,phishing,Fake Legal Threat,legal@irs-compliance-notice.cf,NOTICE: Legal Action Pending Against Your Tax ID,"This is a final notice before legal proceedings begin against your Tax ID. You have an outstanding balance of $4,200 with the IRS. Pay immediately to avoid arrest warrant: http://irs-payment.cf/pay?case=IRS-2026-XX","http://irs-payment.cf/pay?case=IRS-2026-XX","Government impersonation,Arrest threat,.cf TLD,Extreme urgency",Critical
49,phishing,Fake Software License,licensing@adobe-license-renew.pw,Your Adobe Creative Cloud license has been revoked,"Your Adobe Creative Cloud license has been revoked due to non-payment. Your files are at risk of being locked. Restore access now: http://adobe-license.pw/restore","http://adobe-license.pw/restore","Fake Adobe domain,.pw TLD,File loss threat,Fear tactic",High
50,phishing,Supply Chain Phish,vendor-payments@supplier-portal-update.xyz,ACTION REQUIRED: Update your banking details in our vendor portal,"Dear Supplier, We are migrating our payment system. All vendors must update their bank account details by March 1 to continue receiving payments. Update your details: http://vendor-payments.xyz/update","http://vendor-payments.xyz/update","Fake vendor portal,.xyz TLD,Payment redirect scam,Supply chain attack",Critical
